Index,Penn Dot municipal ID number,Total Number of Cyclists killed or suspected of serious injury from crashes with automobiles,Total cyclists suspected of serious injury from crashes with automobiles over 10 years period,Total cyclists killed from crashes with automobiles over 10 years period
282,40414,0,0,0
283,40412,0,0,0
284,64306,0,0,0
285,40410,0,0,0
286,40409,0,0,0
287,64422,0,0,0
288,65210,0,0,0
289,40220,0,0,0
290,66402,0,0,0
291,38216,0,0,0
292,66213,0,0,0
293,66214,0,0,0
294,66215,0,0,0
295,38212,0,0,0
296,38211,0,0,0
297,38210,0,0,0
298,66229,0,0,0
299,38209,0,0,0
300,66232,0,0,0
301,66233,0,0,0
302,38205,0,0,0
303,38203,0,0,0
304,66405,0,0,0
305,38402,0,0,0
306,66406,0,0,0
307,66412,0,0,0
308,66413,0,0,0
309,66414,0,0,0
310,38101,0,0,0
311,37403,0,0,0
312,66420,0,0,0
313,66422,0,0,0
314,66426,0,0,0
315,37214,0,0,0
316,66430,0,0,0
317,37212,0,0,0
318,37205,0,0,0
319,66212,0,0,0
320,66207,0,0,0
321,40214,0,0,0
322,43209,0,0,0
323,40212,0,0,0
324,40211,0,0,0
325,40209,0,0,0
326,64425,0,0,0
327,40206,0,0,0
328,40204,0,0,0
329,64428,0,0,0
330,40103,0,0,0
331,64430,0,0,0
332,39408,0,0,0
333,39406,0,0,0
334,39405,0,0,0
335,39404,0,0,0
336,39302,0,0,0
337,66204,0,0,0
338,39213,0,0,0
339,39211,0,0,0
340,65216,0,0,0
341,66101,0,0,0
342,66102,0,0,0
343,66103,0,0,0
344,66201,0,0,0
345,39207,0,0,0
346,39201,0,0,0
347,39103,0,0,0
348,39101,0,0,0
349,38407,0,0,0
350,38406,0,0,0
351,42405,0,0,0
352,45202,0,0,0
353,64206,0,0,0
354,54202,0,0,0
355,53422,0,0,0
356,53426,0,0,0
357,48210,0,0,0
358,48209,0,0,0
359,48207,0,0,0
360,48206,0,0,0
361,53428,0,0,0
362,48205,0,0,0
363,53429,0,0,0
364,48201,0,0,0
365,36418,0,0,0
366,47206,0,0,0
367,53430,0,0,0
368,46423,0,0,0
369,46419,0,0,0
370,43219,0,0,0
371,54205,0,0,0
372,46417,0,0,0
373,54208,0,0,0
374,46415,0,0,0
375,54209,0,0,0
376,54211,0,0,0
377,54212,0,0,0
378,54213,0,0,0
379,54403,0,0,0
380,46411,0,0,0
381,54404,0,0,0
382,55212,0,0,0
383,46409,0,0,0
384,46408,0,0,0
385,48212,0,0,0
386,48216,0,0,0
387,48217,0,0,0
388,53421,0,0,0
389,51204,0,0,0
390,53203,0,0,0
391,51203,0,0,0
392,51202,0,0,0
393,50409,0,0,0
394,50221,0,0,0
395,50214,0,0,0
396,53213,0,0,0
397,50202,0,0,0
398,49406,0,0,0
399,49403,0,0,0
400,49302,0,0,0
401,49301,0,0,0
402,49216,0,0,0
403,49211,0,0,0
404,49210,0,0,0
405,49101,0,0,0
406,53236,0,0,0
407,48418,0,0,0
408,53404,0,0,0
409,48417,0,0,0
410,48416,0,0,0
411,48415,0,0,0
412,48409,0,0,0
413,53406,0,0,0
414,53411,0,0,0
415,48401,0,0,0
416,53412,0,0,0
417,53415,0,0,0
418,46406,0,0,0
419,55220,0,0,0
420,46405,0,0,0
421,46106,0,0,0
422,61221,0,0,0
423,61301,0,0,0
424,62218,0,0,0
425,46103,0,0,0
426,62301,0,0,0
427,62405,0,0,0
428,45402,0,0,0
429,62406,0,0,0
430,62419,0,0,0
431,45215,0,0,0
432,63211,0,0,0
433,45214,0,0,0
434,45207,0,0,0
435,45205,0,0,0
436,63403,0,0,0
437,64102,0,0,0
438,45101,0,0,0
439,44403,0,0,0
440,64103,0,0,0
441,64201,0,0,0
442,44210,0,0,0
443,44205,0,0,0
444,64204,0,0,0
445,43404,0,0,0
446,43303,0,0,0
447,43302,0,0,0
448,43301,0,0,0
449,43226,0,0,0
450,43220,0,0,0
451,60302,0,0,0
452,60301,0,0,0
453,46404,0,0,0
454,60215,0,0,0
455,55221,0,0,0
456,46401,0,0,0
457,55225,0,0,0
458,46226,0,0,0
459,46225,0,0,0
460,55418,0,0,0
461,46223,0,0,0
462,46222,0,0,0
463,46220,0,0,0
464,46216,0,0,0
465,46215,0,0,0
466,55422,0,0,0
467,57404,0,0,0
468,58222,0,0,0
469,46209,0,0,0
470,46208,0,0,0
471,46207,0,0,0
472,58223,0,0,0
473,58402,0,0,0
474,46203,0,0,0
475,58408,0,0,0
476,46202,0,0,0
477,59202,0,0,0
478,46114,0,0,0
479,46113,0,0,0
480,46111,0,0,0
481,46108,0,0,0
482,59402,0,0,0
483,59403,0,0,0
484,37204,0,0,0
485,1202,0,0,0
486,36415,0,0,0
487,7207,0,0,0
488,7209,0,0,0
489,7215,0,0,0
490,7403,0,0,0
491,7407,0,0,0
492,8204,0,0,0
493,8235,0,0,0
494,8404,0,0,0
495,8408,0,0,0
496,8409,0,0,0
497,8410,0,0,0
498,9201,0,0,0
499,9204,0,0,0
500,9205,0,0,0
501,9207,0,0,0
502,9210,0,0,0
503,9212,0,0,0
504,9218,0,0,0
505,7208,0,0,0
506,7205,0,0,0
507,15214,0,0,0
508,7204,0,0,0
509,6227,0,0,0
510,6234,0,0,0
511,6235,0,0,0
512,6404,0,0,0
513,6405,0,0,0
514,6407,0,0,0
515,6408,0,0,0
516,6411,0,0,0
517,6414,0,0,0
518,6418,0,0,0
519,6423,0,0,0
520,6426,0,0,0
521,6427,0,0,0
522,6428,0,0,0
523,6429,0,0,0
524,7201,0,0,0
525,7202,0,0,0
526,9219,0,0,0
527,9220,0,0,0
528,9225,0,0,0
529,9226,0,0,0
530,11432,0,0,0
531,12402,0,0,0
532,13202,0,0,0
533,13405,0,0,0
534,13406,0,0,0
535,13410,0,0,0
536,14201,0,0,0
537,14212,0,0,0
538,14215,0,0,0
539,14401,0,0,0
540,14402,0,0,0
541,14405,0,0,0
542,14406,0,0,0
543,15101,0,0,0
544,15202,0,0,0
545,15203,0,0,0
546,15209,0,0,0
547,11426,0,0,0
548,11418,0,0,0
549,11410,0,0,0
550,9416,0,0,0
551,9229,0,0,0
552,9404,0,0,0
553,9405,0,0,0
554,9409,0,0,0
555,9412,0,0,0
556,9413,0,0,0
557,9415,0,0,0
558,9418,0,0,0
559,11409,0,0,0
560,10201,0,0,0
561,10216,0,0,0
562,10219,0,0,0
563,10227,0,0,0
564,10416,0,0,0
565,11207,0,0,0
566,11217,0,0,0
567,6224,0,0,0
568,6223,0,0,0
569,6222,0,0,0
570,2426,0,0,0
571,2119,0,0,0
572,2122,0,0,0
573,2208,0,0,0
574,2214,0,0,0
575,2216,0,0,0
576,2219,0,0,0
577,2302,0,0,0
578,2303,0,0,0
579,2304,0,0,0
580,2402,0,0,0
581,2403,0,0,0
582,2407,0,0,0
583,2410,0,0,0
584,2413,0,0,0
585,2414,0,0,0
586,2416,0,0,0
587,2420,0,0,0
588,2118,0,0,0
589,2117,0,0,0
590,2116,0,0,0
591,1407,0,0,0
592,1204,0,0,0
593,1207,0,0,0
594,1208,0,0,0
595,1216,0,0,0
596,1217,0,0,0
597,1219,0,0,0
598,1401,0,0,0
599,1408,0,0,0
600,2115,0,0,0
601,1410,0,0,0
602,2102,0,0,0
603,2104,0,0,0
604,2105,0,0,0
605,2106,0,0,0
606,2109,0,0,0
607,2110,0,0,0
608,2424,0,0,0
609,2427,0,0,0
610,6219,0,0,0
611,2429,0,0,0
612,3408,0,0,0
613,3409,0,0,0
614,4203,0,0,0
615,4207,0,0,0
616,4217,0,0,0
617,4301,0,0,0
618,4302,0,0,0
619,4423,0,0,0
620,4426,0,0,0
621,5221,0,0,0
622,5226,0,0,0
623,5228,0,0,0
624,5401,0,0,0
625,6202,0,0,0
626,6203,0,0,0
627,6205,0,0,0
628,6208,0,0,0
629,3406,0,0,0
630,3210,0,0,0
631,2481,0,0,0
632,2461,0,0,0
633,2430,0,0,0
634,2431,0,0,0
635,2433,0,0,0
636,2445,0,0,0
637,2446,0,0,0
638,2448,0,0,0
639,2458,0,0,0
640,2463,0,0,0
641,2479,0,0,0
642,2464,0,0,0
643,2466,0,0,0
644,2467,0,0,0
645,2473,0,0,0
646,2474,0,0,0
647,2475,0,0,0
648,2476,0,0,0
649,15213,0,0,0
650,15215,0,0,0
651,36414,0,0,0
652,26212,0,0,0
653,26301,0,0,0
654,26409,0,0,0
655,26413,0,0,0
656,28201,0,0,0
657,28204,0,0,0
658,28205,0,0,0
659,28207,0,0,0
660,28211,0,0,0
661,28401,0,0,0
662,28404,0,0,0
663,28406,0,0,0
664,30205,0,0,0
665,30215,0,0,0
666,30406,0,0,0
667,31207,0,0,0
668,1203,0,0,0
669,31223,0,0,0
670,26218,0,0,0
671,26202,0,0,0
672,15222,0,0,0
673,25416,0,0,0
674,23417,0,0,0
675,23418,0,0,0
676,23419,0,0,0
677,23420,0,0,0
678,23423,0,0,0
679,23424,0,0,0
680,23426,0,0,0
681,23427,0,0,0
682,24301,0,0,0
683,25101,0,0,0
684,25210,0,0,0
685,25214,0,0,0
686,25216,0,0,0
687,25301,0,0,0
688,25401,0,0,0
689,25402,0,0,0
690,25404,0,0,0
691,31407,0,0,0
692,31412,0,0,0
693,31414,0,0,0
694,32204,0,0,0
695,36204,0,0,0
696,36208,0,0,0
697,36210,0,0,0
698,36211,0,0,0
699,36217,0,0,0
700,36224,0,0,0
701,36227,0,0,0
702,36229,0,0,0
703,36233,0,0,0
704,36234,0,0,0
705,36235,0,0,0
706,36239,0,0,0
707,36401,0,0,0
708,36402,0,0,0
709,36405,0,0,0
710,36410,0,0,0
711,36413,0,0,0
712,36201,0,0,0
713,35415,0,0,0
714,35414,0,0,0
715,35207,0,0,0
716,32214,0,0,0
717,32218,0,0,0
718,32223,0,0,0
719,33218,0,0,0
720,33219,0,0,0
721,33406,0,0,0
722,34203,0,0,0
723,35214,0,0,0
724,35413,0,0,0
725,35219,0,0,0
726,35404,0,0,0
727,35406,0,0,0
728,35407,0,0,0
729,35408,0,0,0
730,35409,0,0,0
731,35410,0,0,0
732,23416,0,0,0
733,23415,0,0,0
734,23414,0,0,0
735,20230,0,0,0
736,15412,0,0,0
737,15413,0,0,0
738,15415,0,0,0
739,16210,0,0,0
740,16402,0,0,0
741,17223,0,0,0
742,17403,0,0,0
743,17404,0,0,0
744,17410,0,0,0
745,18211,0,0,0
746,18213,0,0,0
747,18218,0,0,0
748,18301,0,0,0
749,18401,0,0,0
750,18404,0,0,0
751,18405,0,0,0
752,19404,0,0,0
753,15411,0,0,0
754,15409,0,0,0
755,15408,0,0,0
756,15237,0,0,0
757,15224,0,0,0
758,15225,0,0,0
759,15229,0,0,0
760,15231,0,0,0
761,15233,0,0,0
762,15235,0,0,0
763,15236,0,0,0
764,15238,0,0,0
765,15407,0,0,0
766,15239,0,0,0
767,15240,0,0,0
768,15243,0,0,0
769,15248,0,0,0
770,15253,0,0,0
771,15254,0,0,0
772,15406,0,0,0
773,19501,0,0,0
774,20301,0,0,0
775,23411,0,0,0
776,20302,0,0,0
777,23103,0,0,0
778,23104,0,0,0
779,23105,0,0,0
780,23107,0,0,0
781,23108,0,0,0
782,23109,0,0,0
783,23110,0,0,0
784,23112,0,0,0
785,23207,0,0,0
786,23208,0,0,0
787,23209,0,0,0
788,23401,0,0,0
789,23402,0,0,0
790,23404,0,0,0
791,23405,0,0,0
792,23407,0,0,0
793,23410,0,0,0
794,22412,0,0,0
795,22410,0,0,0
796,22408,0,0,0
797,21214,0,0,0
798,20402,0,0,0
799,21101,0,0,0
800,21203,0,0,0
801,21208,0,0,0
802,21209,0,0,0
803,21210,0,0,0
804,21211,0,0,0
805,21215,0,0,0
806,22407,0,0,0
807,21407,0,0,0
808,21412,0,0,0
809,22203,0,0,0
810,22208,0,0,0
811,22219,0,0,0
812,22405,0,0,0
813,22406,0,0,0
814,31221,0,0,0
